plot,trt,level,year,rep,f.LAI.soy,f.LAI.rag,f.LAI.ratio,f.rTDM.m2,s.LAI.soy,s.LAI.rag,s.LAI.ratio,s.rTDM.m2,t.LAI.soy,t.LAI.rag,t.LAI.ratio,t.rTDM.m2,l.LAI.soy,l.LAI.rag,l.LAI.ratio,l.rTDM.m2,ADJrhd,ADJrhd.m2,grams.20ft,H2O,ADJ_yield,YL
403,5,100,2015,4,0.38,0.28,0.43,22.11,1.42,0.3,0.17,44.42,2.92,1.92,0.4,443.57,1.56,5.17,0.77,.,9.02,11.83727676,131,12.07,132.39,0.9374
312,4,0,2015,3,0.31,0.04,0.13,3.04,1.83,1.35,0.42,99.11,1.18,2.96,0.71,648.16,0.37,1.94,0.84,.,7.38,9.685044625,134,10.25,138.23,0.9437
101,4,0,2015,1,0.32,0.12,0.27,8.11,1.77,0.61,0.26,39.53,2.48,2.47,0.5,566.93,0.75,4.09,0.85,.,6.07,7.965883587,111.8,11.63,113.56,0.951
310,4,50,2015,3,0.35,0.04,0.11,2.91,2.8,0.49,0.15,37.85,2.5,0.47,0.16,250.39,.,.,.,.,5.58,7.322838619,114.8,12.86,114.99,0.9579
305,5,100,2015,3,0.41,0.43,0.51,31.29,1.35,1.51,0.53,101.59,1.01,4.8,0.83,665.75,0.54,2.27,0.81,.,12.47,16.36483827,86.2,8.91,90.25,0.9635
411,5,0,2015,4,0.25,0.1,0.29,10.8,0.9,0.87,0.49,68.73,2.34,4.64,0.66,583.99,0.94,4.62,0.83,.,7.87,10.32808959,87.4,12.28,88.13,0.966
102,5,0,2015,1,0.24,0.07,0.23,5.34,1.24,1.01,0.45,68.53,1.42,2.71,0.66,644.88,0.94,2.72,0.74,.,11.81,15.49869607,60,13,60,0.9741
112,4,100,2015,1,0.35,0.08,0.18,5.08,1.55,0.59,0.27,42.53,2.2,1.57,0.42,480.31,1.36,4.09,0.75,.,5.25,6.889767518,57.2,9.6,59.44,0.9753
203,5,0,2015,2,0.28,0.12,0.3,8.24,1.21,0.47,0.28,28.01,2.32,1.62,0.41,673.1,0.65,2.5,0.79,.,9.19,12.060374,61.2,9.73,63.5,0.9755
414,4,0,2015,4,0.3,0.06,0.17,4.41,0.73,0.68,0.48,66.06,1.34,2.83,0.68,400.79,0.32,2.35,0.88,.,6.56,8.608928555,54.2,13,54.2,0.9791
115,5,100,2015,1,0.31,0.12,0.27,8.82,0.79,1.57,0.66,92.53,2.58,2.75,0.52,447.38,0.46,1.74,0.79,.,7.87,10.32808959,43.8,13.48,43.56,0.9819
306,5,50,2015,3,0.45,0.16,0.26,12.22,1.75,1.05,0.38,87.55,1.68,4,0.7,955.77,.,.,.,.,10.66,13.9895089,41.8,12.48,42.05,0.9846
313,5,0,2015,3,0.25,0.14,0.36,7.97,1.38,2.01,0.59,167.54,1.74,9.53,0.85,777.3,0.37,1.22,0.77,.,10.5,13.77953504,35.4,13.67,35.13,0.9857
410,5,50,2015,4,0.27,0.11,0.29,9.02,0.86,1.75,0.67,130.72,1.7,3.67,0.68,760.11,.,.,.,.,10.01,13.13649007,28.6,10.11,29.55,0.9883
105,1,0,2015,1,0,0.02,1,2.03,0,0.26,1,23.69,0,4.75,1,644.49,0,2.77,1,.,2,2.62467334,0,0,0,1
204,1,0,2015,2,0,0.05,1,4.13,0,0.28,1,23.15,0,1.11,1,210.24,0,2.14,1,.,2,2.62467334,0,0,0,1
314,1,0,2015,3,0,0.02,1,1.6,0,0.26,1,20.22,0,4.54,1,760.89,0,1.52,1,.,2,2.62467334,0,0,0,1
412,1,0,2015,4,0,0.04,1,3.54,0,1.27,1,68.01,0,5.04,1,744.62,0,2.49,1,.,2,2.62467334,0,0,0,1
110,1,50,2015,1,0,0.04,1,3.7,0,0.39,1,27.85,0,4.66,1,430.97,.,.,.,.,2,2.62467334,0,0,0,1
206,1,50,2015,2,0,0.03,1,2.41,0,0.23,1,19.95,0,1.57,1,244.49,.,.,.,.,2,2.62467334,0,0,0,1
308,1,50,2015,3,0,0.06,1,4.04,0,0.48,1,36.68,0,3.59,1,775.98,.,.,.,.,2,2.62467334,0,0,0,1
406,1,50,2015,4,0,0.06,1,3.99,0,0.15,1,21.3,0,2.29,1,357.74,.,.,.,.,2,2.62467334,0,0,0,1
114,1,100,2015,1,0,0.03,1,2.18,0,0.76,1,85.35,0,2.49,1,391.47,0,3.38,1,.,2,2.62467334,0,0,0,1
215,1,100,2015,2,0,0.02,1,2.68,0,0.09,1,6.47,0,3.05,1,500,0,1.83,1,.,2,2.62467334,0,0,0,1
302,1,100,2015,3,0,0.03,1,2.24,0,1.12,1,82.24,0,3.36,1,513.52,0,2.19,1,.,2,2.62467334,0,0,0,1
402,1,100,2015,4,0,0.05,1,5.42,0,0.21,1,18.69,0,3.21,1,656.96,0,4.29,1,.,2,2.62467334,0,0,0,1
102,2,0,2016,1,1.24,0,0,0,4.46,0,0,0,4.39,0,0,0,3.08,0,0,0,0,0,2293,17.1,2184.94,0
201,2,0,2016,2,0.93,0,0,0,1.74,0,0,0,3.16,0,0,0,4.65,0,0,0,0,0,2136.6,19.3,1981.88,0
312,2,0,2016,3,1.2,0,0,0,3.74,0,0,0,3.18,0,0,0,3.55,0,0,0,0,0,2104.8,18.8,1964.48,0
413,2,0,2016,4,1.12,0,0,0,3.25,0,0,0,3.85,0,0,0,3.17,0,0,0,0,0,2296.2,19.9,2114.09,0
108,2,50,2016,1,1.1,0,0,0,3.58,0,0,0,4.7,0,0,0,4.21,0,0,0,0,0,2063.8,14.4,2030.59,0
208,2,50,2016,2,1.09,0,0,0,3.18,0,0,0,4.09,0,0,0,3.75,0,0,0,0,0,2006.2,16.6,1923.18,0
307,2,50,2016,3,1.04,0,0,0,2.98,0,0,0,4.36,0,0,0,3.35,0,0,0,0,0,2231,16.9,2130.99,0
408,2,50,2016,4,0.7,0,0,0,3.3,0,0,0,5.51,0,0,0,3.38,0,0,0,0,0,2145.8,15,2096.47,0
